time_ms,status,altitude_m,speed_ms,accel_ms2
55884,4,2353,110,-17.1
55904,4,2356,110,-12.5
55924,4,2359,110,-18.2
55944,4,2361,109,-2.6
55964,4,2364,109,-6.4
55984,4,2365,109,0.8
56004,4,2369,109,-15.4
56024,4,2372,108,-17.9
56044,4,2374,108,-2.3
56064,4,2377,108,-10.5
56084,4,2380,108,-1.5
56104,4,2382,107,-12.2
56124,4,2385,107,-14.2
56144,4,2387,107,-4.4
56164,4,2390,107,-10.3
56184,4,2393,107,-2.4
56204,4,2394,106,1.5
56224,4,2397,106,-11.6
56244,4,2399,106,1.5
56264,4,2402,106,-13.7
56284,4,2405,105,-9.3
56304,4,2407,105,-2.1
56324,4,2410,105,-7.1
56344,4,2412,105,-2.7
56364,4,2415,105,-10.5
56384,4,2418,104,-14.2
56404,4,2420,104,-5
56424,4,2423,104,-16.5
56444,4,2425,104,-13.9
56464,4,2428,103,-13.3
56484,4,2431,103,-2.5
56504,4,2432,103,-8.4
56524,4,2435,103,-1.4
56544,4,2439,103,-6.5
56564,4,2440,102,-14
56584,4,2444,102,-4.3
56604,4,2445,102,-7.7
56624,4,2448,102,-16.4
56644,4,2451,101,-12
56664,4,2453,101,-6.8
56684,4,2456,101,-16.2
56704,4,2457,101,-11
56724,4,2460,100,-11
56744,4,2463,100,-3.8
56764,4,2465,100,-7.4
56784,4,2468,100,-8.7
56804,4,2469,100,3.1
56824,4,2472,99,-15.6
56844,4,2476,99,-7.4
56864,4,2477,99,-1.2
56884,4,2480,99,-11.4
56904,4,2483,98,-14.1
56924,4,2485,98,-10.2
56944,4,2488,98,-15.2
56964,4,2489,98,-6.2
56984,4,2493,97,-2.8
57004,4,2496,97,3.2
57024,4,2497,97,-14.7
57044,4,2500,97,-1.7
57064,4,2502,97,-4.1
57084,4,2505,96,1.5
57104,4,2508,96,-11.4
57124,4,2509,96,6.1
57144,4,2512,96,-8.5
57164,4,2514,96,-0.5
57184,4,2517,95,-8.3
57204,4,2519,95,-1.9
57224,4,2521,95,-8.8
57244,4,2524,95,2.8
57264,4,2525,95,-5.7
57284,4,2528,94,-9.6
57304,4,2531,94,-4.5
57324,4,2533,94,-9.7
57344,4,2536,94,0.4
57364,4,2539,94,-5.7
57384,4,2540,93,-10.8
57404,4,2543,93,-15.9
57424,4,2545,93,-5.1
57444,4,2547,93,-10.9
57464,4,2550,92,-17
57484,4,2552,92,-9.5
57504,4,2555,92,-16.7
57524,4,2556,92,-10.7
57544,4,2559,91,-10.7
57564,4,2562,91,-0.1
57584,4,2563,91,-11.3
57604,4,2566,91,1.8
57624,4,2568,90,-14.4
57644,4,2571,90,-17.9
57664,4,2574,90,-15.4
57684,4,2575,89,-16.5
57704,4,2578,89,1.8
57724,4,2581,89,-6.7
57744,4,2582,89,2.2
57764,4,2585,89,-11.8
57784,4,2587,88,-0.7
57804,4,2589,88,-3.6
57824,4,2592,88,-11.7
57844,4,2594,88,-2.3
57864,4,2597,88,-8.4
57884,4,2598,87,-10.5
57904,4,2601,87,-14.8
57924,4,2604,87,-16.5
57944,4,2605,87,-8.7
57964,4,2608,86,-12.9
57984,4,2609,86,-11.3
58004,4,2612,86,-14.9
58024,4,2615,85,-17
58044,4,2616,85,-6.7
58064,4,2619,85,-15.7
58084,4,2621,85,-6.1
58104,4,2624,84,-16.9
58124,4,2626,84,-14.7
58144,4,2628,84,-7.1
58164,4,2630,84,-13.1
58184,4,2633,83,-12
58204,4,2634,83,-13.6
58224,4,2637,83,0.5
58244,4,2639,83,-14.6
58264,4,2641,82,-15.1
58284,4,2644,82,-8.6
58304,4,2646,82,-12.5
58324,4,2648,82,-11.8
58344,4,2650,81,-8.3
58364,4,2652,81,-11.3
58384,4,2655,81,0.8
58404,4,2656,81,-3.3
58424,4,2659,81,-10.7
58444,4,2660,80,2.5
58464,4,2663,80,-14.1
58484,4,2666,80,-8.6
58504,4,2667,80,-3.4
58524,4,2670,79,-13.6
58544,4,2673,79,-15.1
